Canonical_Claim_ID,Dataset,Claim_Type,Baseline_Status,MAVA_Status,Validation_Transition,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Correction_Verification
Customer_Churn::C019,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,Fiber optic internet service has a 41.8928% churn rate.,Fiber optic internet service has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Customer_Churn::C020,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,DSL internet service has an 18.9591% churn rate.,DSL internet service has an 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Customer_Churn::C021,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,No Internet Service has a 7.405% churn rate.,No Internet Service has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C001,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Total gross sales across all transactions is 127,931,598.50.","Total gross sales across all transactions is 127,931,598.50.",UNCHANGED,No verified correction applied,
Financial::C002,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Total discounts across all transactions is 9,205,248.27.","Total discounts across all transactions is 9,205,248.27.",UNCHANGED,No verified correction applied,
Financial::C003,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Net total sales across all transactions is 118,726,350.29.","Net total sales across all transactions is 118,726,350.29.",UNCHANGED,No verified correction applied,
Financial::C004,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Total Cost of Goods Sold (COGS) reached 101,832,648.00.","Total Cost of Goods Sold (COGS) reached 101,832,648.00.",UNCHANGED,No verified correction applied,
Financial::C005,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Total profit reached 16,893,702.29.","Total profit reached 16,893,702.29.",UNCHANGED,No verified correction applied,
Financial::C006,Financial,PERCENTAGE,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Overall profit margin is 14.2291%.,Overall profit margin is 14.2291%.,UNCHANGED,No verified correction applied,
Financial::C007,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Total units sold reached 1,125,806.0.","Total units sold reached 1,125,806.0.",UNCHANGED,No verified correction applied,
Financial::C008,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Average sales per record stood at 169,609.0718.","Average sales per record stood at 169,609.0718.",UNCHANGED,No verified correction applied,
Financial::C009,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Average profit per record was 24,307.4853.","Average profit per record was 24,307.4853.",UNCHANGED,No verified correction applied,
Financial::C010,Financial,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Average units sold per record totaled 1,608.2943.","Average units sold per record totaled 1,608.2943.",UNCHANGED,No verified correction applied,
Financial::C011,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Government segment led all segments in revenue.,Government segment led all segments in revenue.,UNCHANGED,No verified correction applied,
Financial::C012,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Government segment led all segments in profit.,Government segment led all segments in profit.,UNCHANGED,No verified correction applied,
Financial::C013,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Government segment generated 52,504,260.68 in total sales.","Government segment generated 52,504,260.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C014,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Government segment generated 11,388,173.18 in total profit.","Government segment generated 11,388,173.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C015,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Government segment had an average sales value of 175,014.2023 per record.","Government segment had an average sales value of 175,014.169,609.0718 per record.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C016,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Small Business generated the second-highest sales total among segments.,Small Business generated the second-highest sales total among segments.,UNCHANGED,No verified correction applied,
Financial::C017,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Small Business generated 42,427,918.50 in total sales.","Small Business generated 42,427,918.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C018,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Small Business delivered 4,143,168.50 in total profit.","Small Business delivered 4,143,168.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C019,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Enterprise recorded total sales of 19,611,694.38.","Enterprise recorded total sales of 19,611,694.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C020,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Enterprise achieved the highest average sales per record among segments.,Enterprise achieved the highest average sales per record among segments.,UNCHANGED,No verified correction applied,
Financial::C021,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Enterprise average sales per record was 196,116.9438.","Enterprise average sales per record was 196,116.169,609.0718.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C022,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Enterprise experienced a total profit loss of -614,545.62.","Enterprise experienced a total profit loss of -614,545.62.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C023,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Midmarket accounted for 2,381,883.09 in total sales.","Midmarket accounted for 2,381,883.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C024,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Midmarket accounted for 660,103.09 in total profit.","Midmarket accounted for 660,103.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C025,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Channel Partners recorded 1,800,593.64 in total sales.","Channel Partners recorded 1,800,593.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C026,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Channel Partners recorded 1,316,803.14 in total profit.","Channel Partners recorded 1,316,803.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C027,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Channel Partners average sales value per record was 18,005.9364.","Channel Partners average sales value per record was 18,005.9364.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C028,Financial,NUMERIC,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Sales and profitability were distributed across five countries.,Sales and profitability were distributed across five countries.,UNCHANGED,No verified correction applied,
Financial::C029,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,United States of America generated the highest total sales among countries.,United States of America generated the highest total sales among countries.,UNCHANGED,No verified correction applied,
Financial::C030,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"United States of America generated 25,029,830.18 in total sales.","United States of America generated 25,029,830.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C031,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"United States of America total profit reached 2,995,540.68.","United States of America total profit reached 2,995,540.68.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C032,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Canada recorded 24,887,654.89 in total sales.","Canada recorded 24,887,654.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C033,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Canada recorded 3,529,228.89 in total profit.","Canada recorded 3,529,228.89 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C034,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"France generated 24,354,172.29 in total sales.","France generated 24,354,172.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C035,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,France achieved the highest total profit among all countries.,France achieved the highest total profit among all countries.,UNCHANGED,No verified correction applied,
Financial::C036,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"France total profit was 3,781,020.79.","France total profit was 3,781,020.79.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C037,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Germany contributed 23,505,340.82 in total sales.","Germany contributed 23,505,340.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C038,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Germany contributed 3,680,388.82 in total profit.","Germany contributed 3,680,388.82 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C039,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Mexico recorded total sales of 20,949,352.11.","Mexico recorded total sales of 20,949,352.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C040,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Mexico recorded total profit of 2,907,523.11.","Mexico recorded total profit of 2,907,523.11.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C041,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Paseo generated the highest product sales among products.,Paseo generated the highest product sales among products.,UNCHANGED,No verified correction applied,
Financial::C042,Financial,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Paseo generated the highest product profit among products.,Paseo generated the highest product profit among products.,UNCHANGED,No verified correction applied,
Financial::C043,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Paseo total sales reached 33,011,143.96.","Paseo total sales reached 33,011,143.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C044,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Paseo total profit reached 4,797,437.96.","Paseo total profit reached 4,797,437.96.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C045,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"VTT recorded 20,511,921.02 in total sales.","VTT recorded 20,511,921.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C046,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"VTT recorded 3,034,608.02 in total profit.","VTT recorded 3,034,608.02 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C047,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Velo achieved 18,250,059.47 in total sales.","Velo achieved 18,250,059.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C048,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Velo achieved 2,305,992.47 in total profit.","Velo achieved 2,305,992.47 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C049,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Amarilla delivered 17,747,116.07 in total sales.","Amarilla delivered 17,747,116.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C050,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Amarilla delivered 2,814,104.07 in total profit.","Amarilla delivered 2,814,104.07 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C051,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Montana generated 15,390,801.88 in total sales.","Montana generated 15,390,801.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C052,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Montana generated 2,114,754.88 in total profit.","Montana generated 2,114,754.88 in total profit.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Financial::C053,Financial,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Carretera recorded total sales of 13,815,307.89.","Carretera recorded total sales of 13,815,307.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Financial::C054,Financial,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"Carretera recorded total profit of 1,826,804.89.","Carretera recorded total profit of 1,826,804.89.",UNCHANGED,No verified correction applied,INVALID_CORRECTION
Walmart::C001,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Overall weekly sales across the dataset demonstrate a mean of 1,046,964.8776.","Overall weekly sales across the dataset demonstrate a mean of 1,046,964.8776.",UNCHANGED,No verified correction applied,
Walmart::C002,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Overall weekly sales across the dataset demonstrate a median of 960,746.04.","Overall weekly sales across the dataset demonstrate a median of 960,746.04.",UNCHANGED,No verified correction applied,
Walmart::C003,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Weekly sales have a standard deviation of 564,366.6221.","Weekly sales have a standard deviation of 564,366.6221.",UNCHANGED,No verified correction applied,
Walmart::C004,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Weekly sales have a minimum value of 209,986.25.","Weekly sales have a minimum value of 209,986.25.",UNCHANGED,No verified correction applied,
Walmart::C005,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Weekly sales have a maximum value of 3,818,686.45.","Weekly sales have a maximum value of 3,818,686.45.",UNCHANGED,No verified correction applied,
Walmart::C006,Walmart,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Holiday weekly sales average is 1,122,887.8924.","Holiday weekly sales average is 1,122,887.8924.",UNCHANGED,No verified correction applied,
Walmart::C007,Walmart,NUMERIC,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Non-holiday weekly sales average is 1,041,256.3802.","Non-holiday weekly sales average is 1,041,256.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C008,Walmart,PERCENTAGE,MATCH,MATCH,MATCH_TO_MATCH,Holiday sales lift is 7.8397%.,Holiday sales lift is 7.8397%.,UNCHANGED,No verified correction applied,
Walmart::C009,Walmart,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Holiday weeks yield a higher average weekly sales figure than non-holiday weeks.,Holiday weeks yield a higher average weekly sales figure than non-holiday weeks.,UNCHANGED,No verified correction applied,
Walmart::C010,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 20 average weekly sales is 2,107,676.8703.","Store 20 average weekly sales is 2,107,676.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C011,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 4 average weekly sales is 2,094,712.9607.","Store 4 average weekly sales is 2,094,712.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C012,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 14 average weekly sales is 2,020,978.4010.","Store 14 average weekly sales is 2,020,978.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C013,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 13 average weekly sales is 2,003,620.3063.","Store 13 average weekly sales is 2,003,620.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C014,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 2 average weekly sales is 1,925,751.3355.","Store 2 average weekly sales is 1,925,751.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C015,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 10 average weekly sales is 1,899,424.5727.","Store 10 average weekly sales is 1,899,424.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C016,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 27 average weekly sales is 1,775,216.2020.","Store 27 average weekly sales is 1,775,216.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C017,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 6 average weekly sales is 1,564,728.1863.","Store 6 average weekly sales is 1,564,728.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C018,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 1 average weekly sales is 1,555,264.3976.","Store 1 average weekly sales is 1,555,264.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C019,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 39 average weekly sales is 1,450,668.1292.","Store 39 average weekly sales is 1,450,668.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C020,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 19 average weekly sales is 1,444,999.0357.","Store 19 average weekly sales is 1,444,999.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C021,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 31 average weekly sales is 1,395,901.4371.","Store 31 average weekly sales is 1,395,901.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C022,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 23 average weekly sales is 1,389,864.4605.","Store 23 average weekly sales is 1,389,864.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C023,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 24 average weekly sales is 1,356,755.3936.","Store 24 average weekly sales is 1,356,755.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C024,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 11 average weekly sales is 1,356,383.1245.","Store 11 average weekly sales is 1,356,383.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C025,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 28 average weekly sales is 1,323,522.2418.","Store 28 average weekly sales is 1,323,522.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C026,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 41 average weekly sales is 1,268,125.4188.","Store 41 average weekly sales is 1,268,125.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C027,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 32 average weekly sales is 1,166,568.1550.","Store 32 average weekly sales is 1,166,568.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C028,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 18 average weekly sales is 1,084,718.4210.","Store 18 average weekly sales is 1,084,718.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
