Canonical_Claim_ID,Dataset,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Validation_Status,Baseline_Status,MAVA_Status,Validation_Change,Claim_Type,Validation_Transition,Correction_Verification
Financial::C018,Financial,"Small Business delivered 4,143,168.50 in total profit.","Small Business delivered 4,143,168.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C019,Financial,"Enterprise recorded total sales of 19,611,694.38.","Enterprise recorded total sales of 19,611,694.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C021,Financial,"Enterprise average sales per record was 196,116.9438.","Enterprise average sales per record was 196,116.169,609.0718.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C023,Financial,"Midmarket accounted for 2,381,883.09 in total sales.","Midmarket accounted for 2,381,883.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C024,Financial,"Midmarket accounted for 660,103.09 in total profit.","Midmarket accounted for 660,103.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C025,Financial,"Channel Partners recorded 1,800,593.64 in total sales.","Channel Partners recorded 1,800,593.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C026,Financial,"Channel Partners recorded 1,316,803.14 in total profit.","Channel Partners recorded 1,316,803.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C030,Financial,"United States of America generated 25,029,830.18 in total sales.","United States of America generated 25,029,830.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C032,Financial,"Canada recorded 24,887,654.89 in total sales.","Canada recorded 24,887,654.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C034,Financial,"France generated 24,354,172.29 in total sales.","France generated 24,354,172.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C037,Financial,"Germany contributed 23,505,340.82 in total sales.","Germany contributed 23,505,340.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C039,Financial,"Mexico recorded total sales of 20,949,352.11.","Mexico recorded total sales of 20,949,352.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C043,Financial,"Paseo total sales reached 33,011,143.96.","Paseo total sales reached 33,011,143.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C045,Financial,"VTT recorded 20,511,921.02 in total sales.","VTT recorded 20,511,921.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C047,Financial,"Velo achieved 18,250,059.47 in total sales.","Velo achieved 18,250,059.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C049,Financial,"Amarilla delivered 17,747,116.07 in total sales.","Amarilla delivered 17,747,116.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C051,Financial,"Montana generated 15,390,801.88 in total sales.","Montana generated 15,390,801.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C053,Financial,"Carretera recorded total sales of 13,815,307.89.","Carretera recorded total sales of 13,815,307.118,726,350.29.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C007,Walmart,"Non-holiday weekly sales average is 1,041,256.3802.","Non-holiday weekly sales average is 1,041,256.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C010,Walmart,"Store 20 average weekly sales is 2,107,676.8703.","Store 20 average weekly sales is 2,107,676.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C011,Walmart,"Store 4 average weekly sales is 2,094,712.9607.","Store 4 average weekly sales is 2,094,712.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C012,Walmart,"Store 14 average weekly sales is 2,020,978.4010.","Store 14 average weekly sales is 2,020,978.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C013,Walmart,"Store 13 average weekly sales is 2,003,620.3063.","Store 13 average weekly sales is 2,003,620.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C014,Walmart,"Store 2 average weekly sales is 1,925,751.3355.","Store 2 average weekly sales is 1,925,751.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C015,Walmart,"Store 10 average weekly sales is 1,899,424.5727.","Store 10 average weekly sales is 1,899,424.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C016,Walmart,"Store 27 average weekly sales is 1,775,216.2020.","Store 27 average weekly sales is 1,775,216.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C017,Walmart,"Store 6 average weekly sales is 1,564,728.1863.","Store 6 average weekly sales is 1,564,728.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C018,Walmart,"Store 1 average weekly sales is 1,555,264.3976.","Store 1 average weekly sales is 1,555,264.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C019,Walmart,"Store 39 average weekly sales is 1,450,668.1292.","Store 39 average weekly sales is 1,450,668.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C020,Walmart,"Store 19 average weekly sales is 1,444,999.0357.","Store 19 average weekly sales is 1,444,999.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C021,Walmart,"Store 31 average weekly sales is 1,395,901.4371.","Store 31 average weekly sales is 1,395,901.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C022,Walmart,"Store 23 average weekly sales is 1,389,864.4605.","Store 23 average weekly sales is 1,389,864.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C023,Walmart,"Store 24 average weekly sales is 1,356,755.3936.","Store 24 average weekly sales is 1,356,755.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C024,Walmart,"Store 11 average weekly sales is 1,356,383.1245.","Store 11 average weekly sales is 1,356,383.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C025,Walmart,"Store 28 average weekly sales is 1,323,522.2418.","Store 28 average weekly sales is 1,323,522.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C026,Walmart,"Store 41 average weekly sales is 1,268,125.4188.","Store 41 average weekly sales is 1,268,125.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C027,Walmart,"Store 32 average weekly sales is 1,166,568.1550.","Store 32 average weekly sales is 1,166,568.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C028,Walmart,"Store 18 average weekly sales is 1,084,718.4210.","Store 18 average weekly sales is 1,084,718.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C029,Walmart,"Store 22 average weekly sales is 1,028,501.0390.","Store 22 average weekly sales is 1,028,501.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C030,Walmart,"Store 12 average weekly sales is 1,009,001.6094.","Store 12 average weekly sales is 1,009,001.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C031,Walmart,"Store 26 average weekly sales is 1,002,911.8447.","Store 26 average weekly sales is 1,002,911.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C032,Walmart,"Store 34 average weekly sales is 966,781.5594.","Store 34 average weekly sales is 966,781.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C033,Walmart,"Store 40 average weekly sales is 964,128.0405.","Store 40 average weekly sales is 964,128.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C034,Walmart,"Store 35 average weekly sales is 919,724.9796.","Store 35 average weekly sales is 919,724.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C035,Walmart,"Store 8 average weekly sales is 908,749.5184.","Store 8 average weekly sales is 908,749.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C036,Walmart,"Store 17 average weekly sales is 893,581.3904.","Store 17 average weekly sales is 893,581.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C037,Walmart,"Store 21 average weekly sales is 756,069.0834.","Store 21 average weekly sales is 756,069.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C038,Walmart,"Store 25 average weekly sales is 706,721.5327.","Store 25 average weekly sales is 706,721.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C039,Walmart,"Store 15 average weekly sales is 623,312.4750.","Store 15 average weekly sales is 623,312.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C040,Walmart,"Store 7 average weekly sales is 570,617.3087.","Store 7 average weekly sales is 570,617.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C041,Walmart,"Store 42 average weekly sales is 556,403.8631.","Store 42 average weekly sales is 556,403.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C042,Walmart,"Store 9 average weekly sales is 543,980.5524.","Store 9 average weekly sales is 543,980.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C043,Walmart,"Store 29 average weekly sales is 539,451.4287.","Store 29 average weekly sales is 539,451.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C044,Walmart,"Store 16 average weekly sales is 519,247.7301.","Store 16 average weekly sales is 519,247.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C045,Walmart,"Store 37 average weekly sales is 518,900.2820.","Store 37 average weekly sales is 518,900.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C046,Walmart,"Store 30 average weekly sales is 438,579.6162.","Store 30 average weekly sales is 438,579.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C047,Walmart,"Store 3 average weekly sales is 402,704.4410.","Store 3 average weekly sales is 402,704.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C048,Walmart,"Store 38 average weekly sales is 385,731.6533.","Store 38 average weekly sales is 385,731.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C049,Walmart,"Store 36 average weekly sales is 373,511.9928.","Store 36 average weekly sales is 373,511.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C050,Walmart,"Store 5 average weekly sales is 318,011.8105.","Store 5 average weekly sales is 318,011.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
Walmart::C051,Walmart,"Store 33 average weekly sales is 259,861.6920.","Store 33 average weekly sales is 259,861.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,ENTITY_VALUE,MISMATCH_TO_MATCH,VALID_CORRECTION
