Canonical_Claim_ID,Dataset,Original_Claim_Text,Corrected_Claim_Text,Original_Status,Correction_Status,Verification_Status,Verification_Reason,Matched_Ground_Truth_Value,Matched_Ground_Truth_Metric,Matched_Ground_Truth_Dimension,Matched_Ground_Truth_Group,Original_Numeric_Values,Corrected_Numeric_Values
Financial::C032,Financial,"Canada recorded 24,887,654.89 in total sales.","Canada recorded 24,887,654.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,24887654.89,Total Sales,Country,Canada,[24887654.89],"[24887654.118, 726350.29]"
Financial::C033,Financial,"Canada recorded 3,529,228.89 in total profit.","Canada recorded 3,529,228.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[3529228.89],"[3529228.17, 671023.54]"
Financial::C034,Financial,"France generated 24,354,172.29 in total sales.","France generated 24,354,172.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,24354172.29,Total Sales,Country,France,[24354172.29],"[24354172.118, 726350.29]"
Financial::C036,Financial,"France total profit was 3,781,020.79.","France total profit was 3,781,020.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[3781020.79],"[3781020.17, 671023.54]"
Financial::C037,Financial,"Germany contributed 23,505,340.82 in total sales.","Germany contributed 23,505,340.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,23505340.82,Total Sales,Country,Germany,[23505340.82],"[23505340.118, 726350.29]"
Financial::C038,Financial,"Germany contributed 3,680,388.82 in total profit.","Germany contributed 3,680,388.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[3680388.82],"[3680388.17, 671023.54]"
Financial::C039,Financial,"Mexico recorded total sales of 20,949,352.11.","Mexico recorded total sales of 20,949,352.118,726,350.29.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,20949352.11,Total Sales,Country,Mexico,[20949352.11],"[20949352.118, 726350.29]"
Financial::C040,Financial,"Mexico recorded total profit of 2,907,523.11.","Mexico recorded total profit of 2,907,523.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[2907523.11],"[2907523.17, 671023.54]"
Financial::C043,Financial,"Paseo total sales reached 33,011,143.96.","Paseo total sales reached 33,011,143.118,726,350.29.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,33011143.960000005,Total Sales,Product, Paseo ,[33011143.96],"[33011143.118, 726350.29]"
Financial::C044,Financial,"Paseo total profit reached 4,797,437.96.","Paseo total profit reached 4,797,437.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[4797437.96],"[4797437.17, 671023.54]"
Financial::C045,Financial,"VTT recorded 20,511,921.02 in total sales.","VTT recorded 20,511,921.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,20511921.02,Total Sales,Product, VTT ,[20511921.02],"[20511921.118, 726350.29]"
Financial::C046,Financial,"VTT recorded 3,034,608.02 in total profit.","VTT recorded 3,034,608.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[3034608.02],"[3034608.17, 671023.54]"
Financial::C047,Financial,"Velo achieved 18,250,059.47 in total sales.","Velo achieved 18,250,059.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,18250059.47,Total Sales,Product, Velo ,[18250059.47],"[18250059.118, 726350.29]"
Financial::C048,Financial,"Velo achieved 2,305,992.47 in total profit.","Velo achieved 2,305,992.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[2305992.47],"[2305992.17, 671023.54]"
Financial::C049,Financial,"Amarilla delivered 17,747,116.07 in total sales.","Amarilla delivered 17,747,116.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,17747116.07,Total Sales,Product, Amarilla ,[17747116.07],"[17747116.118, 726350.29]"
Financial::C050,Financial,"Amarilla delivered 2,814,104.07 in total profit.","Amarilla delivered 2,814,104.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[2814104.07],"[2814104.17, 671023.54]"
Financial::C051,Financial,"Montana generated 15,390,801.88 in total sales.","Montana generated 15,390,801.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,15390801.88,Total Sales,Product, Montana ,[15390801.88],"[15390801.118, 726350.29]"
Financial::C052,Financial,"Montana generated 2,114,754.88 in total profit.","Montana generated 2,114,754.17,671,023.54 in total profit.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[2114754.88],"[2114754.17, 671023.54]"
Financial::C053,Financial,"Carretera recorded total sales of 13,815,307.89.","Carretera recorded total sales of 13,815,307.118,726,350.29.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,13815307.89,Total Sales,Product, Carretera ,[13815307.89],"[13815307.118, 726350.29]"
Financial::C054,Financial,"Carretera recorded total profit of 1,826,804.89.","Carretera recorded total profit of 1,826,804.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[1826804.89],"[1826804.17, 671023.54]"
Walmart::C007,Walmart,"Non-holiday weekly sales average is 1,041,256.3802.","Non-holiday weekly sales average is 1,041,256.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1041256.3802088556,Non-Holiday Sales Average,Holiday_Flag,0,[1041256.3802],"[1041256.1, 46964.8776]"
Walmart::C010,Walmart,"Store 20 average weekly sales is 2,107,676.8703.","Store 20 average weekly sales is 2,107,676.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,2107676.8703496507,Average Weekly Sales,Store,20,"[20.0, 2107676.8703]","[20.0, 2107676.1, 46964.8776]"
Walmart::C011,Walmart,"Store 4 average weekly sales is 2,094,712.9607.","Store 4 average weekly sales is 2,094,712.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,2094712.9606993007,Average Weekly Sales,Store,4,"[4.0, 2094712.9607]","[4.0, 2094712.1, 46964.8776]"
Walmart::C012,Walmart,"Store 14 average weekly sales is 2,020,978.4010.","Store 14 average weekly sales is 2,020,978.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,2020978.400979021,Average Weekly Sales,Store,14,"[14.0, 2020978.401]","[14.0, 2020978.1, 46964.8776]"
Walmart::C013,Walmart,"Store 13 average weekly sales is 2,003,620.3063.","Store 13 average weekly sales is 2,003,620.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,2003620.3062937064,Average Weekly Sales,Store,13,"[13.0, 2003620.3063]","[13.0, 2003620.1, 46964.8776]"
Walmart::C014,Walmart,"Store 2 average weekly sales is 1,925,751.3355.","Store 2 average weekly sales is 1,925,751.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1925751.3355244752,Average Weekly Sales,Store,2,"[2.0, 1925751.3355]","[2.0, 1925751.1, 46964.8776]"
Walmart::C015,Walmart,"Store 10 average weekly sales is 1,899,424.5727.","Store 10 average weekly sales is 1,899,424.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1899424.5726573423,Average Weekly Sales,Store,10,"[10.0, 1899424.5727]","[10.0, 1899424.1, 46964.8776]"
Walmart::C016,Walmart,"Store 27 average weekly sales is 1,775,216.2020.","Store 27 average weekly sales is 1,775,216.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1775216.201958042,Average Weekly Sales,Store,27,"[27.0, 1775216.202]","[27.0, 1775216.1, 46964.8776]"
Walmart::C017,Walmart,"Store 6 average weekly sales is 1,564,728.1863.","Store 6 average weekly sales is 1,564,728.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1564728.1862937063,Average Weekly Sales,Store,6,"[6.0, 1564728.1863]","[6.0, 1564728.1, 46964.8776]"
Walmart::C018,Walmart,"Store 1 average weekly sales is 1,555,264.3976.","Store 1 average weekly sales is 1,555,264.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1555264.3975524476,Average Weekly Sales,Store,1,"[1.0, 1555264.3976]","[1.0, 1555264.1, 46964.8776]"
Walmart::C019,Walmart,"Store 39 average weekly sales is 1,450,668.1292.","Store 39 average weekly sales is 1,450,668.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1450668.129160839,Average Weekly Sales,Store,39,"[39.0, 1450668.1292]","[39.0, 1450668.1, 46964.8776]"
Walmart::C020,Walmart,"Store 19 average weekly sales is 1,444,999.0357.","Store 19 average weekly sales is 1,444,999.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1444999.0356643354,Average Weekly Sales,Store,19,"[19.0, 1444999.0357]","[19.0, 1444999.1, 46964.8776]"
Walmart::C021,Walmart,"Store 31 average weekly sales is 1,395,901.4371.","Store 31 average weekly sales is 1,395,901.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1395901.437062937,Average Weekly Sales,Store,31,"[31.0, 1395901.4371]","[31.0, 1395901.1, 46964.8776]"
Walmart::C022,Walmart,"Store 23 average weekly sales is 1,389,864.4605.","Store 23 average weekly sales is 1,389,864.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1389864.4604895106,Average Weekly Sales,Store,23,"[23.0, 1389864.4605]","[23.0, 1389864.1, 46964.8776]"
Walmart::C023,Walmart,"Store 24 average weekly sales is 1,356,755.3936.","Store 24 average weekly sales is 1,356,755.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1356755.3935664338,Average Weekly Sales,Store,24,"[24.0, 1356755.3936]","[24.0, 1356755.1, 46964.8776]"
Walmart::C024,Walmart,"Store 11 average weekly sales is 1,356,383.1245.","Store 11 average weekly sales is 1,356,383.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1356383.1244755243,Average Weekly Sales,Store,11,"[11.0, 1356383.1245]","[11.0, 1356383.1, 46964.8776]"
Walmart::C025,Walmart,"Store 28 average weekly sales is 1,323,522.2418.","Store 28 average weekly sales is 1,323,522.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1323522.2418181817,Average Weekly Sales,Store,28,"[28.0, 1323522.2418]","[28.0, 1323522.1, 46964.8776]"
Walmart::C026,Walmart,"Store 41 average weekly sales is 1,268,125.4188.","Store 41 average weekly sales is 1,268,125.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1268125.4188111888,Average Weekly Sales,Store,41,"[41.0, 1268125.4188]","[41.0, 1268125.1, 46964.8776]"
Walmart::C027,Walmart,"Store 32 average weekly sales is 1,166,568.1550.","Store 32 average weekly sales is 1,166,568.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1166568.1549650352,Average Weekly Sales,Store,32,"[32.0, 1166568.155]","[32.0, 1166568.1, 46964.8776]"
Walmart::C028,Walmart,"Store 18 average weekly sales is 1,084,718.4210.","Store 18 average weekly sales is 1,084,718.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1084718.421048951,Average Weekly Sales,Store,18,"[18.0, 1084718.421]","[18.0, 1084718.1, 46964.8776]"
Walmart::C029,Walmart,"Store 22 average weekly sales is 1,028,501.0390.","Store 22 average weekly sales is 1,028,501.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1028501.0389510487,Average Weekly Sales,Store,22,"[22.0, 1028501.039]","[22.0, 1028501.1, 46964.8776]"
Walmart::C030,Walmart,"Store 12 average weekly sales is 1,009,001.6094.","Store 12 average weekly sales is 1,009,001.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1009001.6094405596,Average Weekly Sales,Store,12,"[12.0, 1009001.6094]","[12.0, 1009001.1, 46964.8776]"
Walmart::C031,Walmart,"Store 26 average weekly sales is 1,002,911.8447.","Store 26 average weekly sales is 1,002,911.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1002911.8446853146,Average Weekly Sales,Store,26,"[26.0, 1002911.8447]","[26.0, 1002911.1, 46964.8776]"
Walmart::C032,Walmart,"Store 34 average weekly sales is 966,781.5594.","Store 34 average weekly sales is 966,781.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,966781.5594405596,Average Weekly Sales,Store,34,"[34.0, 966781.5594]","[34.0, 966781.1, 46964.8776]"
Walmart::C033,Walmart,"Store 40 average weekly sales is 964,128.0405.","Store 40 average weekly sales is 964,128.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,964128.0404895104,Average Weekly Sales,Store,40,"[40.0, 964128.0405]","[40.0, 964128.1, 46964.8776]"
Walmart::C034,Walmart,"Store 35 average weekly sales is 919,724.9796.","Store 35 average weekly sales is 919,724.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,919724.9795804196,Average Weekly Sales,Store,35,"[35.0, 919724.9796]","[35.0, 919724.1, 46964.8776]"
Walmart::C035,Walmart,"Store 8 average weekly sales is 908,749.5184.","Store 8 average weekly sales is 908,749.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,908749.5183916084,Average Weekly Sales,Store,8,"[8.0, 908749.5184]","[8.0, 908749.1, 46964.8776]"
Walmart::C036,Walmart,"Store 17 average weekly sales is 893,581.3904.","Store 17 average weekly sales is 893,581.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,893581.3904195806,Average Weekly Sales,Store,17,"[17.0, 893581.3904]","[17.0, 893581.1, 46964.8776]"
Walmart::C037,Walmart,"Store 21 average weekly sales is 756,069.0834.","Store 21 average weekly sales is 756,069.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,756069.0833566432,Average Weekly Sales,Store,21,"[21.0, 756069.0834]","[21.0, 756069.1, 46964.8776]"
Walmart::C038,Walmart,"Store 25 average weekly sales is 706,721.5327.","Store 25 average weekly sales is 706,721.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,706721.5326573426,Average Weekly Sales,Store,25,"[25.0, 706721.5327]","[25.0, 706721.1, 46964.8776]"
Walmart::C039,Walmart,"Store 15 average weekly sales is 623,312.4750.","Store 15 average weekly sales is 623,312.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,623312.474965035,Average Weekly Sales,Store,15,"[15.0, 623312.475]","[15.0, 623312.1, 46964.8776]"
Walmart::C040,Walmart,"Store 7 average weekly sales is 570,617.3087.","Store 7 average weekly sales is 570,617.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,570617.3086713287,Average Weekly Sales,Store,7,"[7.0, 570617.3087]","[7.0, 570617.1, 46964.8776]"
Walmart::C041,Walmart,"Store 42 average weekly sales is 556,403.8631.","Store 42 average weekly sales is 556,403.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,556403.863146853,Average Weekly Sales,Store,42,"[42.0, 556403.8631]","[42.0, 556403.1, 46964.8776]"
Walmart::C042,Walmart,"Store 9 average weekly sales is 543,980.5524.","Store 9 average weekly sales is 543,980.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,543980.5523776225,Average Weekly Sales,Store,9,"[9.0, 543980.5524]","[9.0, 543980.1, 46964.8776]"
Walmart::C043,Walmart,"Store 29 average weekly sales is 539,451.4287.","Store 29 average weekly sales is 539,451.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,539451.4287412587,Average Weekly Sales,Store,29,"[29.0, 539451.4287]","[29.0, 539451.1, 46964.8776]"
Walmart::C044,Walmart,"Store 16 average weekly sales is 519,247.7301.","Store 16 average weekly sales is 519,247.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,519247.73006993,Average Weekly Sales,Store,16,"[16.0, 519247.7301]","[16.0, 519247.1, 46964.8776]"
Walmart::C045,Walmart,"Store 37 average weekly sales is 518,900.2820.","Store 37 average weekly sales is 518,900.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,518900.2819580419,Average Weekly Sales,Store,37,"[37.0, 518900.282]","[37.0, 518900.1, 46964.8776]"
Walmart::C046,Walmart,"Store 30 average weekly sales is 438,579.6162.","Store 30 average weekly sales is 438,579.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,438579.61622377625,Average Weekly Sales,Store,30,"[30.0, 438579.6162]","[30.0, 438579.1, 46964.8776]"
Walmart::C047,Walmart,"Store 3 average weekly sales is 402,704.4410.","Store 3 average weekly sales is 402,704.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,402704.441048951,Average Weekly Sales,Store,3,"[3.0, 402704.441]","[3.0, 402704.1, 46964.8776]"
Walmart::C048,Walmart,"Store 38 average weekly sales is 385,731.6533.","Store 38 average weekly sales is 385,731.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,385731.6532867133,Average Weekly Sales,Store,38,"[38.0, 385731.6533]","[38.0, 385731.1, 46964.8776]"
Walmart::C049,Walmart,"Store 36 average weekly sales is 373,511.9928.","Store 36 average weekly sales is 373,511.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,373511.9927972028,Average Weekly Sales,Store,36,"[36.0, 373511.9928]","[36.0, 373511.1, 46964.8776]"
Walmart::C050,Walmart,"Store 5 average weekly sales is 318,011.8105.","Store 5 average weekly sales is 318,011.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,318011.81048951054,Average Weekly Sales,Store,5,"[5.0, 318011.8105]","[5.0, 318011.1, 46964.8776]"
Walmart::C051,Walmart,"Store 33 average weekly sales is 259,861.6920.","Store 33 average weekly sales is 259,861.1,046,964.8776.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,259861.692027972,Average Weekly Sales,Store,33,"[33.0, 259861.692]","[33.0, 259861.1, 46964.8776]"
